"插件位于着色器编辑器 N 面板。","Addon is located in shader editor N panel."
"调用默认","INVOKE_DEFAULT"
"启用节点管理器","Enable Node Wrangler"
"Node Wrangler 已被禁用。","Node Wrangler is disabled."
"请先启用插件以确保 ParallaxIT 可以正常工作","Please enable the addon first to ensure ParallaxIT can work correctly"
"视差信息技术","Parallax IT"
"EXEC_DEFAULT","EXEC_DEFAULT"
"按"确定"创建视差。","Press OK to create parallax."
"视差模板","ParallaxTemplate"
"创建新材料","Create new material"
"温度计","Temp_mat"
"视差","Parallax It"
"物体没有材质。","Object has no material."
"快速视差设置","Quick Parallax Settings"
"图像比例","Image Scale"
"视差强度","Parallax Strength"
"正常强度","Normal Strength" 
